Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL397538,10000.0,O=C(O)C(=O)O.O=C1CCON1CC#CCN1CCc2ccccc2C1,Scientific Literature,Displacement of [3H]QNB from human muscarinic M2 receptor expressed in CHO cells,B,Homo sapiens,,Bioorg Med Chem,2007.0,Muscarinic acetylcholine receptor M2,Ki,nM,,360.37,1.21
CHEMBL214642,3000.0,O=C(NCC1CCNCC1)[C@H]1CCCN1C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1,Scientific Literature,Inhibition of [3H]NMS binding to human cloned M2 receptor expressed in CHO cells,B,Homo sapiens,,J Med Chem,2006.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.52,608.78,3.48
CHEMBL140706,202.0,COc1nc(C)c(C(=O)N2CCC(C)(N3CCN([C@@H](C)c4ccc(C(F)(F)F)cc4)[C@@H](C)C3)CC2)c(C)n1,Scientific Literature,Binding affinity towards muscarinic receptor M2,B,,,Bioorg Med Chem Lett,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.7,533.64,4.88
CHEMBL380759,3235.94,C[N+](C)(C)CC#CCOC(=O)Nc1ccc(Cl)cc1.[Cl-],Scientific Literature,Binding affinity to cloned human muscarinic M2 receptor expressed in CHO cells,B,Homo sapiens,,J Med Chem,2006.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.49,317.22,2.6
CHEMBL73017,74.0,O=C(OCOCCN1CCCC1)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,Scientific Literature,Binding affinity towards muscarinic m2 receptor,B,,,J Med Chem,1994.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.13,400.35,4.81
CHEMBL426761,6.9,CCCCS(=O)(=O)N1CCC(N2CCC(Oc3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)CC2)CC1,Scientific Literature,Binding affinity towards Muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]-QNB as radioligand,B,,,Bioorg Med Chem Lett,2001.0,Muscarinic acetylcholine receptor M2,Ki,nM,8.16,564.73,3.69
CHEMBL422740,1.1,O=C(Oc1ccccc1)N1CCC(N2CCC(Oc3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)CC2)CC1,Scientific Literature,Binding affinity towards Muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]-QNB as radioligand,B,,,Bioorg Med Chem Lett,2001.0,Muscarinic acetylcholine receptor M2,Ki,nM,8.96,564.66,4.75
CHEMBL128365,87.1,C#CCOC(=O)C1=CCCN(C)C1,Scientific Literature,Binding affinity to cloned human muscarinic M2 receptor expressed in CHO cells,B,Homo sapiens,,J Med Chem,2006.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.06,179.22,0.42
CHEMBL105122,2187.76,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(SC)ccc2C1O3,Scientific Literature,Inhibition of [3H]-NMS binding to human muscarinic acetylcholine receptor M2 in transfected CHO cells.,B,,,J Med Chem,2002.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.66,408.52,4.82
CHEMBL1493369,30.2,C[C@@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,Scientific Literature,Binding affinity towards cloned human muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]N-methylscopolamine,B,,,J Med Chem,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.52,292.43,4.15
CHEMBL168145,111.0,CCN(CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1)C(=O)c1cccc(I)c1,Scientific Literature,Tested in vitro for the binding affinity against muscarinic receptor subtype 2 (M2),B,,,Bioorg Med Chem Lett,1997.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.96,664.59,6.57
CHEMBL71799,6800.0,NCC1CCC(NC(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,Scientific Literature,Binding affinity against human muscarinic acetylcholine receptor M2 in transfected CHO cells,B,,,Bioorg Med Chem Lett,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.17,366.45,2.94
CHEMBL167223,33.11,CC(C1=C(CCN(C)C)Cc2cc(Cl)ccc21)c1ccccn1,Scientific Literature,Binding affinity towards cloned human muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]N-methylscopolamine,B,,,J Med Chem,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.48,326.87,4.8
CHEMBL433011,0.72,CCOC(=O)N1CCC(N2CCC(C3(c4ccc(S(=O)(=O)c5ccc(OC)cc5)cc4)OCCCO3)CC2)CC1,Scientific Literature,Binding affinity at human cloned acetylcholine receptor M2 in CHO cells.,B,,,Bioorg Med Chem Lett,2000.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.14,572.72,4.45
CHEMBL69452,80.0,CCO/C(O)=C1\CN2CC(CCC2COCc2ccccc2)C1=O,Scientific Literature,Binding affinity of compound was determined towards human Muscarinic acetylcholine receptor M2 using [3H]QNB radioligand,B,,,J Med Chem,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.1,331.41,2.67
CHEMBL94772,2400.0,OC1(C2=CN3CCC2CC3)c2ccccc2CCc2ccccc21,Scientific Literature,In vitro binding affinity towards muscarinic receptor in heart (M2) was determined,B,,,Bioorg Med Chem Lett,1994.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.62,317.43,3.63
CHEMBL545077,15.85,CN1CCC=C(c2nsnc2OCCCCCCCCCCCCO)C1.Cl,Scientific Literature,Compound was tested for binding inhibition of [3H](R)-QNB to Muscarinic acetylcholine receptor M2 expressed in A9 L cells,B,,,J Med Chem,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.8,418.05,4.53
CHEMBL307234,0.99,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)OC)CC2)CC1,Scientific Literature,Binding affinity against Muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells.,B,,,Bioorg Med Chem Lett,2000.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.0,498.65,4.48
CHEMBL74352,0.59,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)OCCC)CC2)CC1,Scientific Literature,Binding affinity against Muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells.,B,,,Bioorg Med Chem Lett,2000.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.23,526.7,5.26
CHEMBL84113,300.0,O=C(OC1CC2CCCC1N2)c1ccccc1,Scientific Literature,Inhibition of [3H]- quinuclidinyl benzilate binding to human Muscarinic acetylcholine receptor M2 expressed in CHO cell membrane,B,Homo sapiens,,J Med Chem,2000.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.52,231.29,2.13
CHEMBL174070,0.2,Cc1ccsc1C(=O)N1CCC(N2CCC(Oc3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)CC2)CC1,Scientific Literature,Binding affinity towards Muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]-QNB as radioligand,B,,,Bioorg Med Chem Lett,2001.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.7,568.72,4.77
CHEMBL257174,3981.07,CN1CCC(C2CCN(CCCC(O)(c3ccccc3)c3ccccc3)CC2)CC1.Cl.Cl,Scientific Literature,Displacement of [3H]N-methylscopolamine from human muscarinic M2 receptor expressed in CHO-K1 cells,B,Homo sapiens,,Bioorg Med Chem Lett,2008.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.4,479.54,4.76
CHEMBL330692,200.0,OC1(C2=CN3CCC2CC3)c2ccccc2C=Cc2ccccc21,Scientific Literature,In vitro binding affinity towards muscarinic receptor in heart (M2) was determined,B,,,Bioorg Med Chem Lett,1994.0,Muscarinic acetylcholine receptor M2,Ki,nM,,315.42,4.02
CHEMBL150624,2.4,CC(=C1CCN(C2CCN(C(=O)c3ccc(F)c4ccccc34)CC2)CC1)c1ccc([S+]([O-])C(C)C)cc1,Scientific Literature,Binding affinity for human Muscarinic acetylcholine receptor M2,B,Homo sapiens,,J Med Chem,2002.0,Muscarinic acetylcholine receptor M2,Ki,nM,8.62,532.73,6.67
