Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL405260,79.0,FCCOc1ccccc1N1CCN(Cc2cc3ccccn3n2)CC1
CHEMBL411437,180.0,FCCOc1ccccc1N1CCN(Cc2cnn3ccccc23)CC1
CHEMBL157388,1000.0,COc1cccc(C(=O)NCCN2CCN(c3cccc(Cl)c3)CC2)c1
CHEMBL113471,2500.0,COc1c(C(=O)NCC[C@@H]2CCN(Cc3ccccc3)C2)cc(Br)c2ccccc12
CHEMBL63209,7367.0,CN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2ccccc21
CHEMBL147483,1000.0,COc1cccc(C(=O)NCCN2CCN(c3ccccn3)CC2)c1
CHEMBL101032,300.0,c1ccc(CN2CCN(c3ccccc3)CC2)cc1
CHEMBL108261,1000.0,O=C1COc2ccccc2N1CCN1CCN(Cc2ccc(Cl)cc2)CC1
CHEMBL129768,5000.0,O[C@H](CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1
CHEMBL1173436,23.3,COc1cccc2[nH]cc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)c12.O=C(O)C(=O)O
CHEMBL457024,26.0,CCCN(CCN1CCN(c2ccccc2)CC1)[C@H]1CCc2c(O)cccc2C1
CHEMBL22022,79.43,CCS(=O)(=O)c1ccc(OC)c(-c2ccc(C(C)N3CCCCCC3)[nH]2)c1
CHEMBL167032,25000.0,COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1
CHEMBL29435,1288.0,COc1c(C(=O)NCCN2CCN(c3cccc([N+](=O)[O-])c3)CC2)cc(Br)c2ccccc12
CHEMBL122538,62.0,O=C1c2ccc(F)cc2CCC1C1CCN(Cc2ccccc2)CC1
CHEMBL93403,1900.0,COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1
CHEMBL320880,1.8,NC(=O)c1cc2c3c(ccc2[nH]1)OCC(CN1CCC2(CC1)C(=O)NCN2c1ccccc1)O3
CHEMBL544118,810000.0,CN1CCc2c(Cl)c(O)c(O)c(Cl)c2C(c2ccccc2)C1.Cl
CHEMBL168544,54.0,CCC[C@@H]1CN(Cc2ccccc2)C[C@H]1CNC(=O)c1cc(Cl)c(NC)cc1OC
CHEMBL275707,10000.0,C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1
CHEMBL310310,1740.0,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2
CHEMBL1788325,1667.0,CCCN[C@H]1CCc2ccc3[nH]c(C(N)=O)cc3c2C1
CHEMBL314095,2780.0,O=c1oc2cc(O)ccc2c2c1CN(Cc1ccc(Cl)cc1)CC2
CHEMBL2368625,79.43,CS(=O)(=O)Oc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)/C=C/c3ccccc3F)CC1)CC2.Cl
CHEMBL111749,11.0,CNc1cc(OC)c(C(=O)N[C@H]2CN(Cc3ccccc3)C[C@@H]2C)cc1Cl
CHEMBL424690,174.0,CC(C)(C)c1nc(N2CCN(CCCCCC(=O)NCc3ccccc3)CC2)cc(C(F)(F)F)n1
CHEMBL279039,158.49,CCS(=O)(=O)c1ccc(OC)c(-c2ccc(CN3CCCCCC3)[nH]2)c1
CHEMBL3104524,37.15,O=C1c2cc([N+](=O)[O-])ccc2CCC1CCN1CCC(c2noc3cc(F)ccc23)CC1
CHEMBL177401,791.0,O=S(=O)(c1cccc(F)c1)C1(F)CCN(CCc2ccc(F)cc2F)CC1
CHEMBL183776,5.37,COc1ccccc1N1CCN(CCc2ccc3[nH]nnc3c2)CC1
CHEMBL542462,389.0,CC(C)(C)c1ccc(CN2CCC3(CCc4ccccc4C3=O)CC2)cc1.Cl
CHEMBL115969,183.0,CN1CCc2cccc3c2[C@H]1Cc1cccc(C#N)c1-3
CHEMBL317493,10000.0,CCCN1CCO[C@@H]2c3cc(O)ccc3OC[C@@H]21
CHEMBL112831,4200.0,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCCN(Cc2ccccc2)C1
CHEMBL3353914,26.6,COc1ccccc1N1CCN(CCCCCc2cn(-c3ccc(SC)cc3)nn2)CC1
CHEMBL267930,0.5,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
CHEMBL271083,630.96,Cc1ncoc1-c1nnc(SCCCN2CCc3cc4nc(C(F)(F)C(F)(F)F)oc4cc3CC2)n1C
CHEMBL256474,794.33,Cc1ncoc1-c1nnc(SCCCN2CCc3cc4nc(C(C)(F)F)oc4cc3CC2)n1C
CHEMBL402015,1000.0,Cc1ccc2c(-c3nnc(SCCN4CCc5cc6nc(C)oc6c(Br)c5CC4)n3C)cccc2n1
CHEMBL2062850,7400.0,OC[C@H]1[C@H]2CN(Cc3ccccc3)[C@H](c3ccccc3)[C@H]2[C@@H]1N1CCCC1
