Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL51871,0.6,O=C1OCC2=C1C(c1ccc(F)c(F)c1)N(C(=O)NCCCN1CCN(c3ccccc3[N+](=O)[O-])CC1)C(=O)N2
CHEMBL290860,0.32,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
CHEMBL2261604,12.3,COc1cc2nc(N3CCN(C(=O)c4ccco4)[C@H]4CCCC[C@@H]43)nc(N)c2cc1OC
CHEMBL2260148,20.42,COC(=O)C1=C(C)NC(C)=C(C(=O)N(C)CCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
CHEMBL313251,316.23,CC1=C(C(=O)O)C(c2ccc3c(c2)OCO3)C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)=C(C)N1
CHEMBL1767162,316.23,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1CCNCCCCc1ccc(OCCCN2CCCCCC2)cc1
CHEMBL315392,58.88,CC1=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C(c2ccc([N+](=O)[O-])cc2)C(C(=O)N(C)C)=C(C)N1
CHEMBL41994,50.0,Cc1ccccc1C1(C#N)CCN(CCCNC(=O)C(c2ccc(F)c(F)c2)C(C)C)CC1
CHEMBL1767143,1995.26,COC(=O)c1ccc(Cc2nn(C[C@H]3CCCN3C)c(=O)c3ccccc23)cc1
CHEMBL1767151,1995.26,CN1CCC[C@@H]1Cn1nc(CC2CCCCC2)c2ccccc2c1=O
CHEMBL1767166,100.0,O=c1c2ccccc2c(Cc2ccc(O)cc2)nn1C[C@H]1CCCN1CCCCc1ccc(OCCCN2CCCCCC2)cc1
CHEMBL1767160,125.89,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C1CCCN(CCCc2ccc(OCCCN3CCCCCC3)cc2)CC1
CHEMBL1767168,31.62,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C[C@@H]1CCCN1CCCCc1ccc(OCCCN2CCCCCC2)cc1
CHEMBL5275284,3.981,CC(C)C(=O)NCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O.O=C(O)C(F)(F)F
CHEMBL5282336,50.12,COCCCC(=O)NCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O.O=C(O)C(F)(F)F
CHEMBL146163,4.5,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C1c1ccc(Cl)cc1
CHEMBL100052,31.0,O=C1c2ccccc2CC12CCN(CCc1cccc3ccccc13)CC2
CHEMBL83791,3466.0,CC(C)Oc1ccccc1N1CCN(Cc2nc(CN3CCCCCC3=O)co2)CC1
CHEMBL284470,5.888,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)NCCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
CHEMBL143940,5.0,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
CHEMBL145190,0.08,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCN(c3ccccc3C#N)CC2)C1c1ccc(F)c(F)c1
CHEMBL836,0.1995,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
CHEMBL5483012,0.2344,COC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1.Cl
CHEMBL14213,3.1,COc1ccccc1N1CCN(CCn2c(=O)c3c(-c4ccccc4)csc3n(C)c2=O)CC1
CHEMBL324090,0.04,COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3n1)CC2
CHEMBL25554,0.4266,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1
CHEMBL145843,0.01,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCN(c3ccccc3[N+](=O)[O-])CC2)C1c1ccc(F)c(F)c1
CHEMBL286591,15.85,O=C(CCCN1CCC(NC(=O)c2ccccc2)CC1)c1ccccc1
CHEMBL262002,0.46,COCC1=C(C(=O)OC)[C@H](c2ccc(F)c(F)c2)N(C(=O)N[C@@H]2CC[C@@H](N3CCC(c4ccccc4C#N)CC3)C2)C(=O)N1
CHEMBL421297,1.8,CC(C)Oc1ccccc1N1CCN(Cc2cc(CN3CCCCCC3=O)cs2)CC1
CHEMBL70326,660.69,CS(=O)(=O)c1cc(F)ccc1NCC1=NCCN1
CHEMBL4167693,1000.0,COc1cc2nc(N3CCC[C@@H](NC(=O)[C@@H]4COc5ccccc5O4)C3)nc(N)c2cc1OC
CHEMBL68604,0.88,CC(C)Oc1ccccc1N1CCN(CC(O)CNC(=O)c2ccc3c(c2)C(=O)N(c2ccc(O)cc2)C3=O)CC1
