Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL307408,1570.0,Cc1cc(Br)cc(C)c1CC1=NCCN1,Scientific Literature,Binding affinity towards human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2004,Serotonin 1b (5-HT1b) receptor,Ki,nM,5.8,267.17,2.61
CHEMBL307521,1096.0,CCCN(CCC)[C@H]1CCc2ccc3[nH]cc(C(=O)C(N)=O)c3c2C1,Scientific Literature,"Binding affinity against 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells, using [3H]5-HT as the radioligand.",B,,,J Med Chem,1995,Serotonin 1b (5-HT1b) receptor,Ki,nM,5.96,341.46,2.82
CHEMBL609742,88.0,O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccccc1Cl,Scientific Literature,Inhibition of [3H]-8-OH-DPAT binding to human 5-hydroxytryptamine 1B receptor expressed in CHO cells,B,Homo sapiens,,J Med Chem,2005,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.06,389.91,3.92
CHEMBL297660,472.0,CC(C)c1ccc2[nH]cc(CCN3CCCC3)c2c1,Scientific Literature,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2000,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.33,256.39,3.93
CHEMBL5438846,6700.0,O=C(O)c1cc(-c2ccc(C3=CC4(CNC4)C3)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2c1,Scientific Literature,Displacement of [3H]-5-CT from human 5-HT1B receptor assessed as inhibition constant by radioligand displacement assay,B,Homo sapiens,,J Med Chem,2023,Serotonin 1b (5-HT1b) receptor,Ki,nM,5.17,485.51,7.27
CHEMBL421573,76.0,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4ncccn4)cc23)CC1,Scientific Literature,Ability to displace [3H]5-CT (1.5 nM) from HeLa cells of human 5-hydroxytryptamine 1B receptor,B,,,J Med Chem,2003,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.12,484.58,4.43
CHEMBL553591,158.49,Cl.N#Cc1ccc2c(c1)CN(CCCCNC(=O)/C=C/c1c[nH]c3ccccc13)CC2,Scientific Literature,Binding activity against human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,J Med Chem,2000,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.8,434.97,4.01
CHEMBL320198,6000.0,CN1CCC(c2c[nH]c3cnc(NC(=O)c4ccc(F)cc4)nc23)CC1,Scientific Literature,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor,B,,,J Med Chem,2003,Serotonin 1b (5-HT1b) receptor,Ki,nM,5.22,353.4,3.16
CHEMBL70831,1630.0,COc1cccc(CC2=NCCN2)c1,Scientific Literature,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT trifluoroacetate as radioligand,B,,,J Med Chem,1998,Serotonin 1b (5-HT1b) receptor,Ki,nM,5.79,190.25,1.24
CHEMBL1290715,1.995,Cc1ccc2c(N3CCN(CCc4cccc5[nH]c(=O)ccc45)CC3)cccc2n1,Scientific Literature,Antagonist activity at human 5-HT1B receptor expressed in CHO cells assessed as inhibition of GTPgammaS binding by scintillation proximity assay,F,Homo sapiens,,Bioorg Med Chem Lett,2010,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.7,398.51,3.75
CHEMBL1290716,0.7943,Cc1ccc2c(N3CCN(CCc4cccc5c4ccc(=O)n5C)CC3)cccc2n1,Scientific Literature,Antagonist activity at human 5-HT1B receptor expressed in CHO cells assessed as inhibition of GTPgammaS binding by scintillation proximity assay,F,Homo sapiens,,Bioorg Med Chem Lett,2010,Serotonin 1b (5-HT1b) receptor,Ki,nM,9.1,412.54,3.76
CHEMBL1289618,1000.0,Cc1ccc2c(N3CCN(CCc4cccc5c4ccc(=O)n5C)C(C)(C)C3)cccc2n1,Scientific Literature,Antagonist activity at human 5-HT1B receptor expressed in CHO cells assessed as inhibition of GTPgammaS binding by scintillation proximity assay,F,Homo sapiens,,Bioorg Med Chem Lett,2010,Serotonin 1b (5-HT1b) receptor,Ki,nM,,440.59,4.54
