Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL4874969,4466.84,N/C(=N\C(=O)NC1CCCCC1)Nc1cccc(-c2csc(N)n2)c1,Scientific Literature,Displacement of [3H]UR-DE257 from human histamine H2 receptor expressed in sf9 insect cell membranes co-expressing GSalphaS incubated for 60 mins by microbeta scintillation counting method,B,Homo sapiens,,Eur J Med Chem,2021.0,Histamine H2 receptor,Ki,nM,5.35,358.47,3.16
CHEMBL30,140.0,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,Scientific Literature,Binding affinity to human histamine H2 receptor by radioligand displacement assay,B,Homo sapiens,,Eur J Med Chem,2013.0,Histamine H2 receptor,Ki,nM,6.85,252.35,0.6
CHEMBL310087,12589.25,S=C(NCCCCCc1c[nH]cn1)Nc1ccccc1,Scientific Literature,Displacement of [125 I]iodoaminopotentidine bound to membranes of CHO cells expressing human H2 receptors,B,Homo sapiens,,J Med Chem,1995.0,Histamine H2 receptor,Ki,nM,4.9,288.42,3.11
CHEMBL1783890,3162.28,CNC(=O)c1cnc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)cn1,Scientific Literature,Binding affinity to human histamine H2 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2013.0,Histamine H2 receptor,Ki,nM,,352.44,2.58
CHEMBL64253,18620.87,CCCCCC(=O)c1ccc(OCCCN2CCN(CC3CC3)CC2)cc1,Scientific Literature,Binding affinity for the human Histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.73,372.55,4.25
CHEMBL4800672,6541.0,c1ccc(Oc2ccc(OCCCN3CCN(c4ccncc4)CC3)cc2)cc1,Scientific Literature,Displacement of [3H]UR-DE257 from Gsalphas-coupled human H2R expressed in Sf9 cell membranes measured after 60 mins by scintillation counting analysis,B,Homo sapiens,,Eur J Med Chem,2021.0,Histamine H2 receptor,Ki,nM,5.18,389.5,4.47
CHEMBL516088,1757.0,COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,Scientific Literature,Inhibition of human cloned histamine H2 receptor by competitive binding experiment,B,Homo sapiens,,Bioorg Med Chem,2009.0,Histamine H2 receptor,Ki,nM,5.75,403.47,4.32
CHEMBL4216870,365.0,NCCCCCCn1cc(CCCCN2CCC(c3ccc(-c4cc(C(=O)O)cc5cc(-c6ccc(C(F)(F)F)cc6)ccc45)cc3)CC2)nn1,Scientific Literature,Displacement of [125I]-Iodoaminopotentidine from human histamine H2 receptor expressed in HEK293T cell membranes after 90 mins by scintillation counting method,B,Homo sapiens,,J Med Chem,2018.0,Histamine H2 receptor,Ki,nM,6.44,697.85,9.2
CHEMBL476839,1156.0,COc1c(OCCF)cccc1C(O)C1CCN(CCc2ccc(C)cc2)CC1,Scientific Literature,Inhibition of human cloned histamine H2 receptor by competitive binding experiment,B,Homo sapiens,,Bioorg Med Chem,2009.0,Histamine H2 receptor,Ki,nM,5.94,401.52,4.34
CHEMBL2036989,10000.0,C[C@@]12CCC[C@]3(C)C(=O)O[C@H](C[C@@]4(CO4)[C@]1(O)CCc1ccoc1)[C@H]23,Scientific Literature,Binding affinity to human histamine H2 receptor,B,Homo sapiens,,J Nat Prod,2012.0,Histamine H2 receptor,Ki,nM,,346.42,2.85
CHEMBL5094083,229.09,C=C(/N=C(\C)NCCCc1nnc(N)s1)NCCCCCCCCN,Scientific Literature,Displacement of [3H]UR-DE257 from Gsalphas-coupled human H2R expressed in Sf9 cell membranes by competitive binding assay,B,Homo sapiens,,Bioorg Med Chem Lett,2021.0,Histamine H2 receptor,Ki,nM,6.64,367.57,2.42
CHEMBL5083588,562.34,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NCCCCCCCCNC(=O)CCCCCN1/C(=C/C=C/C=C/C2=[N+](CCCCS(=O)(=O)[O-])c3ccccc3C2(C)C)c2ccccc2C1(C)C.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Scientific Literature,Displacement of [3H]UR-DE257 from Gsalphas-coupled human H2R expressed in Sf9 cell membranes by competitive binding assay,B,Homo sapiens,,Bioorg Med Chem Lett,2021.0,Histamine H2 receptor,Ki,nM,6.25,1312.43,8.7
CHEMBL517140,3162.28,CNC(=O)c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1,Scientific Literature,Binding affinity to human histamine H2 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2013.0,Histamine H2 receptor,Ki,nM,,351.45,3.19
CHEMBL104994,22000.0,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](N)CO)C2)cc1,Scientific Literature,Binding affinity to the human Histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.66,349.43,0.17
CHEMBL319000,10000.0,CN(C)[C@@H]1CCN(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,Scientific Literature,Binding affinity to the human cortical histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,5.0,349.48,3.63
CHEMBL446885,3630.78,CCOC(=O)N1CCN(CCCOc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CC1,Scientific Literature,Binding affinity to the human cortical histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,5.44,452.47,4.8
CHEMBL318320,8317.64,CCOC(=O)N1CCN(CCCOc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)CC1,Scientific Literature,Binding affinity at human cortical Histamine 2 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,5.08,413.47,3.8
CHEMBL421026,12302.69,N#Cc1ccc(-c2ccc(OCCCN3CC4CNCC4C3)cc2)cc1,Scientific Literature,Binding affinity to the human cortical histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.91,347.46,3.15
CHEMBL303824,1729.0,CN1CCCC1CCNc1c2c(nc3ccccc13)CCCCC2,Scientific Literature,Compound was tested for its binding affinity towards human H2 receptor,B,,,Bioorg Med Chem Lett,2003.0,Histamine H2 receptor,Ki,nM,5.76,323.48,4.4
