1"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL366304";"";"None";"362.50";"0";"4.42";"8o";"O=C(N[C@@H]1CCN(Cc2ccccc2)C1)c1ccc(-c2ccsc2)cc1";"Ki";"'='";"900.0";"nM";"6.05";"";"";"UO_0000065";"16.68";"0.32";"1.63";"18.69";"0";"CHEMBL839650";"Ability to displace [3H]spiperone from human Dopamine receptor D2S stably transfected in GH4C1 (rat pituitary) cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Pituitary gland cell";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137866";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3988382";"";"";"";"900.0"
"CHEMBL598104";"";"None";"407.92";"1";"5.79";"8b";"CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(-c4cccc(F)c4)c3CC[C@@H]21";"Ki";"'='";"223.0";"nM";"6.65";"";"";"UO_0000065";"16.31";"0.31";"0.86";"28.34";"0";"CHEMBL1074771";"Displacement of [3H]methylspiperon from dopamine D2 receptor expressed in mouse LTK cells by scintillation counting";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"LTK";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156846";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"223.0"
"CHEMBL88365";"";"None";"268.36";"0";"2.71";"9a";"Oc1cccc(N2CCN(Cc3ccccc3)CC2)c1";"Ki";"'='";"115.0";"nM";"6.94";"";"";"UO_0000065";"25.86";"0.47";"4.23";"25.98";"0";"CHEMBL1066831";"Displacement of [3H]spiperone from human dopamine D2 receptor at low affinity state expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157594";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3307715";"";"";"";"115.0"
"CHEMBL3115582";"";"None";"519.57";"0";"2.85";"12d";"O=C(O)C(=O)O.Oc1ccc2c(c1)O[C@@H](CNCCN1CCN(c3ccc(OCCF)cc3)CC1)CC2";"Ki";"'='";"234.42";"nM";"6.63";"";"";"UO_0000065";"15.44";"0.29";"3.78";"11.59";"0";"CHEMBL3117737";"Displacement of [3H]spiperone from low-affinity state of human dopamine D2S receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3112461";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307715";"";"";"";"6.63"
"CHEMBL2443006";"";"None";"499.59";"0";"2.98";"16c";"COc1ccccc1N1CCN(Cc2cn(-c3ccc(OCCOCCOCCF)cc3)nn2)CC1";"Ki";"'='";"2700.0";"nM";"5.57";"";"";"UO_0000065";"11.15";"0.21";"2.59";"7.51";"0";"CHEMBL2443402";"Displacement of [3H]spiperone from human D2long receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440010";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3308072";"";"";"";"2700.0"
"CHEMBL191460";"";"None";"739.80";"2";"6.55";"11a";"CN(C)CCN(Cc1ccc(-c2ccc(CNCCc3ccccc3)cc2)cc1)C(=O)CCC1CCCC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F";"Ki";"'='";"1258.93";"nM";"5.90";"";"";"UO_0000065";"11.53";"0.21";"-0.65";"16.58";"0";"CHEMBL840226";"Binding affinity towards human dopamine receptor D2 expressed in CHO cells using the radioligand [125I]iodosulpiride";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142810";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3308072";"";"";"";"-5.9"
"CHEMBL204269";"";"None";"385.57";"0";"4.90";"12g";"CC(C)(CCCN1CCCC(c2ccccc2)C1)S(=O)(=O)c1ccccc1";"Ki";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"17.27";"0.34";"1.76";"17.81";"0";"CHEMBL865592";"Displacement of [3H]spiperone from the cloned human D2 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139656";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"CHEMBL3308072";"";"";"";"220.0"
"CHEMBL204174";"";"None";"381.54";"0";"3.29";"12e";"CCOC(=O)[C@H]1CCCN(CCCC(C)(C)S(=O)(=O)c2ccccc2)C1";"Ki";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL865592";"Displacement of [3H]spiperone from the cloned human D2 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139656";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"CHEMBL3308072";"";"";"";""
"CHEMBL424678";"";"None";"492.59";"0";"4.19";"2";"CC(C)(C)c1nc(N2CCN(CCCCNC(=O)NCc3ccccc3)CC2)cc(C(F)(F)F)n1";"Ki";"'='";"137.0";"nM";"6.86";"";"";"UO_0000065";"13.93";"0.27";"2.67";"9.35";"0";"CHEMBL862319";"Binding affinity to cloned human dopamine D2 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146925";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"137.0"
"CHEMBL51023";"";"None";"339.44";"0";"2.51";"7";"COc1ccccc1N1CCN(CNC(=O)c2ccc(C)cc2)CC1";"Ki";"'='";"291.0";"nM";"6.54";"";"";"UO_0000065";"19.26";"0.36";"4.03";"14.59";"0";"CHEMBL671981";"Binding affinity for human Dopamine receptor D2 expressed in CHO K1 transfected cells using [3H]spiperone as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130052";"1";"Scientific Literature";"J Med Chem";"1997";"CHEMBL3308072";"";"";"";"291.0"
